[2026-02-26 10:47:57] Iniciando orchestrator com 1 streams...
[2026-02-26 10:47:57] Basic Auth habilitado via HLS_USER/HLS_PASS.
[2026-02-26 10:47:57] Ingest processes: 1
[2026-02-26 10:47:57] Worker processes: 1
[2026-02-26 10:47:57] Orchestrator rodando. CTRL+C para parar.
[2026-02-26 11:00:55] [HB] frames_in=2141 frames_proc=99 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:00] [HB] frames_in=2165 frames_proc=100 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:05] [HB] frames_in=2189 frames_proc=101 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:10] [HB] frames_in=2189 frames_proc=101 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:15] [HB] frames_in=2207 frames_proc=102 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:20] [HB] frames_in=2225 frames_proc=103 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:25] [HB] frames_in=2243 frames_proc=104 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:30] [HB] frames_in=2243 frames_proc=104 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:35] [HB] frames_in=2261 frames_proc=105 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:40] [HB] frames_in=2279 frames_proc=106 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:45] [HB] frames_in=2303 frames_proc=107 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:50] [HB] frames_in=2303 frames_proc=107 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:01:55] [HB] frames_in=2321 frames_proc=108 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:00] [HB] frames_in=2339 frames_proc=109 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:05] [HB] frames_in=2375 frames_proc=110 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:10] [HB] frames_in=2393 frames_proc=111 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:15] [HB] frames_in=2403 frames_proc=112 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:20] [HB] frames_in=2411 frames_proc=112 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:25] [HB] frames_in=2411 frames_proc=112 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:30] [HB] frames_in=2435 frames_proc=113 events_out=1 ingest_alive=1/1 worker_alive=1/1
